name,city,district,state,lat,lon,type,description short,description long,History,image url main,image url all
Museum Of Tribal Arts & Artefacts,Bhubaneswar,KHORDHA,ODISHA,20.283,85.8068,Education & History,"Museum displaying tribal costumes, jewelry, art, household objects, musical instruments & more","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/bAhmH42.jpg,i
Regional Museum Of Natural History,Bhubaneswar,KHORDHA,ODISHA,20.2996,85.8321,Education & History,"Museum with a botanical garden for the visually impared, a vivarium & hands-on activities for kids.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/0Uh6JFe.jpg,i
CIFA Aquarium,Bhubaneswar,KHORDHA,ODISHA,20.1941,85.8589,Zoo & Reservations,"Small aquarium featuring a variety of colorful fish & aquatic plants, plus outdoor ponds.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/G9fFfjo.jpg,i
I.G Park,Bhubaneswar,KHORDHA,ODISHA,20.2704,85.8337,Garden & Parks,One of the biggest and well maintained parks of the smart city which is very easily accessible.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/SXGoeEy.jpg,i
Mahatma Gandhi park,Bhubaneswar,KHORDHA,ODISHA,20.3062,85.8225,Garden & Parks,This park is present near Janta Maidan and is famous for its fountains that are enlightened for beautification.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/ro6lYsL.jpg,i
Biju Patnaik Park/Forest Park,Bhubaneswar,KHORDHA,ODISHA,20.2583,85.8249,Garden & Parks,"Sprawling city park featuring expansive green spaces, manicured gardens, playgrounds & trails.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/QQ23Cp5.jpg,i
Buddha Jayanti Park,Bhubaneswar,KHORDHA,ODISHA,20.3251,85.8083,Garden & Parks,"Breathe in pure atmosphere of this park which also contains - open air gym, yoga platform, open air theatre and small water body to name a few.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/OQX0cSX.jpg,i
Madhusudan Das Park,Bhubaneswar,KHORDHA,ODISHA,20.2452,85.8109,Garden & Parks,Landscaped park named after the first graduate and advocate of Odisha.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/XTKJfsU.jpg,i
Jaydev Batika,Bhubaneswar,KHORDHA,ODISHA,20.2625,85.782,Garden & Parks,Famous for its artificial waterfall and picnic spot. The park is enriched in various types of plants and a walk in its trails fills heart with pleasure.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/EtNzm2c.jpg?2,i
Dr. Shyam Prasad Mukharjee Park,Bhubaneswar,KHORDHA,ODISHA,20.2964,85.8848,Garden & Parks,"Famous for its relaxing, peaceful atmosphere coupled with well maintained eqipments for exercise.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/YEzqqEN.jpg,i
Kharavela Park,Bhubaneswar,KHORDHA,ODISHA,20.2577,85.7848,Garden & Parks,This park is famous for its artificial lightenings and late evening walks.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/pfMB286.jpg,i
Ekamra Kanan Botanical Garden,Bhubaneswar,KHORDHA,ODISHA,20.304,85.8058,Garden & Parks,"Landscaped park with a rose garden, cactus collection, musical fountain & lake with paddle boats.","The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/hTWXOah.jpg,i
Rajarani Temple,Bhubaneswar,KHORDHA,ODISHA,20.2435,85.8435,Devotional Places,A large lawn abuts this 11th century stone hindu temple known for its intricate sculptures.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/tSZByfe.jpg,i
Kedar Gauri Temple,Bhubaneswar,KHORDHA,ODISHA,20.2422,85.8403,Devotional Places,An ancient Shiva temple with beautiful architectural features.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/w6u8pZf.jpg,i
Parsurameswara Temple,Bhubaneswar,KHORDHA,ODISHA,20.2431,85.8391,Devotional Places,A 6th century temple built to house a hundred ling lingram with well preserved sculptures on walls.,"The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Jagannath, a form of Vishnu, in Puri in the state of Odisha on the eastern coast of India. The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King Anantavarman Chodaganga Deva, first of the Eastern Ganga dynasty.",c,https://i.imgur.com/BgV0rxV.png,i
