Place Name,Place Id,State,District,City,Latitude,Longitude,Type,Fee,Hours,Short Description,Long Description,History,Main Image,Other Images
Sri Jagannath Temple,OD_Puri_SriJagannathTemple,Odisha,Puri,Puri,19.8048,85.8177,Religious Sites,NA,NA,Ancient hindu temple of lord Jagannath and one among the famous CHAR DHAM in india,"Shree Jagannath Temple is a hindu temple dedicated to lord Jagannath who is a form of Lord Vishnu, situated near the eastern shore of odisha i.e Bay of Bengal. Jagannath(Lord Vishnu), Balabhadra(Lord Balaram) and Subhadra(Goddess Yogmaya) are a trio of dieties along with Sudarshan Chakra(The disc like weapon of lord vishnu)sclupted from neem logs called as DARU sitting on the Ratna Vedi; the decorated platform. $The 'RATHA YATRA/RATH YATRA' of Lord Jagannath is world famous, and also make the state and country famous worldwide..","The temple is originally built by King Indradyumna in Satya Yuga.Later in 12th century CE it was rebuilt by Anantavarman Chodaganga, a king of Ganga Dynasty. Some legends also say, son and grand son of king Anantavarman were also included in the making of this great temple, including  Suryavamsi Gajapati Dynasty.",https://i.imgur.com/9K8euAe.jpg, https://i.imgur.com/ipTswRR.jpg https://i.imgur.com/BKHtR0K.jpg https://i.imgur.com/Yna3IU8.jpg https://i.imgur.com/LXE3bzE.jpg https://i.imgur.com/Lo1AS4r.jpg
Gundicha Temple,OD_Puri_GundichaTemple,Odisha,Puri,Puri,19.8167,85.8398,Religious Sites,NA,NA,"Ancient hindu temple named after Queen Gundicha, stays vacant all the year except during Rath Yatra","The Gundicha Temple is named after Queen Gundicha wife of King Indradyumna The initial creator of Jagannath Temple. This temple is also meant for worshipping Lord Jagannath, his brother Lord Balabhadra and Goddess Subhadra, but only during Rathyatra,for a duration of 7 days.$In this period the three dieties are having a visit to this temple and also Mausi Maa temple where Chenapoda, Podapitha (Types of odia cakes and sweets) are offered to the dieties for worshipping purpose. The dieties spend 7 days in this temple and then again return to their original place, thats also a festival called as Bahuda, which is also a part of Ratha yatra. ","There are many legends linked to the temple and the annual seven-day stay of the central icons of Jagannath and his siblings during the Ratha Yatra.A legend links the temple to Gundicha, the queen of Indradyumna (the legendary builder of the main temple) - after whom the Gundicha Temple is named. Gundicha had a peep at the divine image of Jagannath being created by the celestial architect Vishwakarma. Impressed by the image, she insisted on her husband building the temple for the deity and starting the Ratha Yatra. Another variant suggests that Jagannath was pleased with her temple and promised to visit her house, now the Gundicha Temple. $As per another legend, when Jagannath (identified with the god Krishna) goes to stay for seven days in the Gundicha Temple, he intentionally leaves behind his consort Lakshmi locked up in a store room in the main Jagannath temple. While in the Gundicha temple, he is exclusively taken care by his gopis (cow-herding girls) led by his gopi-lover Radha like Krishna in Vrindavan. The gopis are symbolized by the temple devadasis on this occasion. When Jagannatha returns to his main temple after his amorous dalliance, Lakshmi meets him at the main temple gate and sprinkles some magical powder on him, which makes him forget about his escapade in the Gundicha Temple, and she is immediately reunited with her husband in blissful love.",https://i.imgur.com/fhsH9RN.jpg,https://i.imgur.com/vmN36eh.jpg https://i.imgur.com/Rq3jBvU.jpg https://i.imgur.com/pNTDYQ9.jpg
The Golden Beach,OD_Puri_GoldenBeach,Odisha,Puri,Puri,19.7947,85.8253,Port & Sea Beach,NA,NA,A clean beach with with various rides and games.You will also find many Sand Sculptures (Sand Art) on beach,"Puri Sea Beach is otherwise known as Golden Beach Of odisha, present on the shore of Bay Of Bengal. This beach is famous for its scenic beauty, tourist attraction, and  Annual Puri Beach Festival that is Co-sponsored by Indian Ministry of Tourism. This place is also a Hindu Sacred place. The sunrise view is another speciality of this place.",NA,https://i.imgur.com/OiLKTh6.jpg,https://i.imgur.com/FTbJtqL.jpg https://i.imgur.com/5WvwJsE.jpg https://i.imgur.com/UufdMoD.jpg https://i.imgur.com/inT264R.jpg https://i.imgur.com/XjJBJqV.jpg 
Konark Sun Temple,OD_Puri_KonarkSunTemple,Odisha,Puri,Konark,19.8876,86.0945,Religious Sites,NA,NA,An ancient hindu temple dedicated to Lord Surya(Sun) describing  the ancient odia Architecture and engineering,"The temple look like a chariot and it has a appierance of atleast 100meter height chariot with large wheels, and horses carved on huge stones. The inland view during Sunrise and dawn seems like the Chariot emerging from the blue sea carrying the Sun pulled by the set of 7 horses. $The astronishing part is how even  the huge sized rocks were carried to the main location, even in the ancient times. The temple was called as 'Black Pagoda' as it acts as a signal to the sailors, because when the temple was initially built the sea water was surrounding it","The temple was built by the king Langudaa Narasimhadev in 1250 CE ,who belong to Eastern Ganga Dynasty.History says 1200 carpenters are worked for 12 years to complete the temple,that consumed the tax amount of 12 years and finally the tip of the temple (KALASHA) was placed by a 12 years old child Dharmapada who was the son of chief carpenter Bisu Maharana, and then the child sacrificed his life to save the lives of 1200 carpenters,as the king might kill them all after knowing that the little child had fixed the Kalasha in one attempt that the 1200 skilled carpenters were unable to do even after several attempts.",https://i.imgur.com/QXgNpdk.jpg, https://i.imgur.com/0wci16q.jpg https://i.imgur.com/6c4cXx2.jpg https://i.imgur.com/ssOoISE.jpg https://i.imgur.com/LppABMg.jpg https://i.imgur.com/NsG9F38.jpg https://i.imgur.com/34pupLo.jpg
Chandrabhaga Beach,OD_Puri_ChandrabhagaBeach,Odisha,Puri,Konark,19.8548,86.0726,Port & Sea Beach,NA,NA,"India's first beach to get ""Blue Flag Certification"" located on the shore of Bay of bengal, near konark Sun Temple","This beach is also the part of Bay Of Bengal located near Konark Sun Temple. This beach is considered to be a place for natural curing for lepers. This beach is India's first beach to be certified by 'Blue Flag Certificate' - a tag given to environment friendly clean beaches, having facilities of international standards for tourists. Sunrise and dawn view of this place is scenic.","Mythology Says ""Chandrabhaga"" the daughter of a sage one had attraction of Lord Son with her Magical Charm and the God arrived to seek her hand in love. But she denied after which God Sun chased after her and the frightened Chandrabhaga jumped into the river. As the mark of a tribute to her sacrifice, every year on the 7th day of full moon fortnight of Magha month, people from all over the state arrive there to have a holy dip in the river.",https://i.imgur.com/9dbSMzL.jpg,https://i.imgur.com/ZXmw3WO.jpg https://i.imgur.com/X9bcI1W.jpg https://i.imgur.com/8zt3eNd.jpg https://i.imgur.com/tebhcre.jpg
Kakatpur Maa Mangala Temple,OD_Puri_KakatpurMaaMangalaTemple,Odisha,Puri,Kakatpur,19.9998,86.195,Religious Sites,NA,NA,"Famous Temple of Maa Mangala ,a form of Goddess Durga","Temple is dedicated to Maa Mangala, who is a form of Goddess Durga.The worship of the Goddess is a basic culture of Odisha.She was before worshipped by the name 'Tara' by buddhists.  Famous festivals celebrated in this temple are Jhamu Yatra, Durga Puja during Dusshera, Basanti Durga Puja.","The myth says Demon Ravan was worshipping Godess Mangala , and after Lord ram defeated him Goddess was taken to odisha from singhala(Srilanka) by a Sadhaba Pua (Those who do bussiness in Coastal islands and countries) and place the goddess at the entrance path to Utkala. but there is no written form of this myth and only believed by the locals. hence its may or may not be correct.",https://i.imgur.com/uHEMvGj.jpg,https://i.imgur.com/QDOpMXK.jpg https://i.imgur.com/UPLOFiR.jpg https://i.imgur.com/HBVryyd.jpg https://i.imgur.com/MvH1NIe.jpg
Pir Jahania ,OD_Puri_PirJahania,Odisha,Puri,Astaranga,19.7575,86.2814,Port & Sea Beach,NA,NA,A nice place for picnic and gathering. Basically its a Mosque surrounded by a clean sea beach,"It is the Shrine of Pir Mukudan jahania Jahagast, a Muslim Saint located near astarang  on the beach. Nice place for picnic and gathering. This place generally remains vacant all the year except winter season. Both hindu and muslim offer worship at the shrine.",There are many legends associated with the mazaar of Saint Makhdum Jahanganst. Some say that the Saint came to India via Baghdad and after a stopover in Bengal finally settled in Astaranga with his disciple’s in the 15th Century AD. $The most popular legend in the area is that a poor man with his son used to visit the Saint to offer his prayer’s. The Saint asked the young boy not to look back on his way back. But one day out of curiosity the little boy did turn back and the Saint vanished the very moment. Devotees built the shrine in his memory. Saint Makhdum Jahanganst’s wooden shoes and umbrella are kept as relics inside the shrine. $The kheer (milk mixed with sugar and boiled rice and boiled till it becomes thick and then allowed to cool) is a special offering and one should try it.,https://i.imgur.com/SRhQpsW.jpg,https://i.imgur.com/XbneuXR.jpg https://i.imgur.com/bCP8DxS.jpg https://i.imgur.com/2imixFE.jpg https://i.imgur.com/j5ld1tg.jpg
Patora Dam,OD_Nuapada_PatoraDam,Odisha,Nuapada,Patora,21.7183,82.4622,Dams & Water Reservoirs,NA,NA,On the bank of river Jonk is place of uncommon scenic charms. Engirdled on all sides by green clad hills,"It holds in its bosom and irrigation project and culture dating back to pre-Christian era at Manikgarh. This is the Dam site of the Upper Jonk Irrigation Project situated at a distance of 20Km from the Dist Hqr. This place is also famous for Yogeswar Temple. This place has the potential of a tourist centre in future. There is a lot of scope for Boating in the Reservoir of the U.J.I.P. $On the left of the dam down the slopes of hill sprawls a replica of the Brundaban Garden. Recline on the velvety grass and enjoy nature in its aesthetic form. Just below the dam, a flora fountain in the making. The sprinkling water within a flowering ring presents a splendid sight. Colorful ling add its beauty at night and oldy goldy music gives immense relief to tired tourist.",NA,https://i.imgur.com/v5nrfgU.jpg,https://i.imgur.com/H1STD19.jpg https://i.imgur.com/e0jil7n.jpg https://i.imgur.com/TLMxyWJ.jpg
Nilamadhaba Temple,OD_Nayagarh_NilamadhabaTemple,Odisha,Nayagarh,Kantilo,20.3646,85.1951,Religious Sites,NA,NA,A very old and famous temple near to the bank of mahanadi in Kantilo,"A very famous and ancient hindu temple dedicated to lord Nilamadhaba a form of Lord Vishnu is present on the bank of Mahanadi, near the twin hills sorrounded by jungle. A permanent flow of holy water from the feet of lord Nilamadhaba from the ancient times is the speciality of this place. $Lord Nilamadhaba is said as the initial Form of Lord Jagannath. Loads of festivals related to Jagannath Culture is celebrated here, among of them Magha Saptami or Ratha Saptami is the most popular. Suna Besa is also a special festival of this place in which Lord Nilamadhaba is decorated  with Gold ornaments. Winter season is the best time to visit this place.","Mythology says Everything started in a little collapse the Brahmadri slopes arranged on the banks of Mahanadi, which is known as Kantilo of Nayagarh locale today. Here, Biswabasu the neighborhood Sabara Chief venerated Kitung, as the God was known in the Sabara lingo.  $As indicated by the Puranas, the divinity was initially venerated as an Indranila jewel picture known as ""Nilamadhava"". The daru murty came much later. It is located close to the juncture of three streams Mahanadi, Kuanria and Kusumi. The sanctuary structure resembles the Jagannath sanctuary of Puri. It remains on the correct bank of Mahanadi. It is called triveni sangam of Odisha. As there is Beni-Madhava in Prayag, so as here Nilamadhava.",https://i.imgur.com/3dlrK2Z.jpg,https://i.imgur.com/fPGh40t.jpg https://i.imgur.com/61D85Gz.jpg https://i.imgur.com/IRoM9FC.jpg https://i.imgur.com/JtT57p6.jpg 
Ladubaba Temple,OD_Nayagarh_LadubabaTemple,Odisha,Nayagarh,Sharanakul,20.0318,85.085,Religious Sites,NA,NA,Ancient temple of Baba Ladukeshnath(Lord Shiva) with immense power and faith of People,"The speciality of Sarankul stands proud with the 15th century shrine of Sri Ladukeswar, popularly known as Ladu Baba. The presiding deity here is known to be the combined form of Hari (Vishnu) and Hara (Shiv) as is the case with Sri Lingaraj in Bhubaneswar.  $The festivals and rituals of Sri Ladukeswar are also similar to that of the Lingaraj temple. This shrine is the most prominent one from amongst a good number of Shaivite shrines dotting the region. Pilgrims from far flung places flock to Sarankul on the occasion of Mahashivaratri.","There is a  200-years-old tradition practiced at Ladubaba temple. According to the tradition, Chandrasekhar – the representative idol of Ladubaba goes to his village Bhikaripada in groom attire on this occasion. Similarly representative idol of goddess Parvati also goes to Bhikaripada after having ‘prasad’ at Chalimandap in Gopinathjew market.  $Both idols go around the town in a procession following which the bride side invites the groom for marriage. On their way, both sides stop at a place – some 100 meters away from the temple where they exchange words by reciting poems. This is often the most exciting part and unique of the festival for the devotees. Hundreds of devotees throng the place to witness the humorous dialogue between the Lord and his consort. The marriage followed the dialogue at the temple. According to locals the Diety was rescued from Ravana's Lanka.",https://i.imgur.com/idkBihN.jpg,https://i.imgur.com/BE4tWN1.jpg https://i.imgur.com/9agzFxi.jpg https://i.imgur.com/uI7SYIU.jpg https://i.imgur.com/zs66arP.jpg 
Budhabudhiani Dam,OD_Nayagarh_BudhabudhianiDam,Odisha,Nayagarh,Odagaon,19.9664,85.019,Dams & Water Reservoirs,NA,NA,Tucked away in the greenery of the trees and among the hills is this small waterbody created by the dam,"A beautiful and hidden place in Nayagarh district, named after the local Deities Budhabudhiani. The dam is formed from a Small stream created from foot of banapur.",NA,https://i.imgur.com/KYLC80H.jpg,https://i.imgur.com/1WqBhpr.jpg https://i.imgur.com/pWEFmEM.jpg https://i.imgur.com/IJR3b5W.jpg 
Sri Raghunath Jew Temple,OD_Nayagarh_SriRaghunathJewTemple,Odisha,Nayagarh,Odagaon,20.0259,84.9808,Religious Sites,NA,NA,Holy Hindu Temple of Lord Shree Ram,"Odagaon is known for the Temple of Lord Raghunathjew. It is one of the renowned sanctuaries in Odisha devoted to Lord Ramachandra. This sanctuary has delightful wooden symbols of Sri Raghunath, Sita and laxman cherished in it. The Kalash of the sanctuary is made of unadulterated gold. Ramanavami is the most significant celebration praised here.","This temple was built around 1903. A mainstream legend related with sanctuary expresses that well known artist of seventeenth century, Kavisamrat Upendra Bhanja, had created his perfect work of art Baidehisha Vilas, here at the feet of Sri Raghunath. It is said that the eminent writer of Odisha, Upendra Bhanja intervened here and achieved flawlessness in the Rama Taraka Mantra.",https://i.imgur.com/dNOFm8a.jpg,https://i.imgur.com/j25qWQa.jpg https://i.imgur.com/B47EIAa.jpg https://i.imgur.com/WC99npD.jpg https://i.imgur.com/Mf4ift5.jpg
Panikhia Waterfall,OD_Nayagarh_PanikhiaWaterfall,Odisha,Nayagarh,Nayagarh,19.9572,85.1222,Waterfalls,NA,NA,A newly discovered waterfall in simili area of Nayagarh,"Panikhia Waterfall also known as Simili cascade is one of the most lovely cascade of odisha, located in nayagarh district.This delightful cascade is encircled by high scope of khallikote profound woods. This is a recognizable spot for outing during winter season. Odisha Tourism is yet to confirm this place as a tourist spot.",NA,https://i.imgur.com/F18jrVP.jpg,https://i.imgur.com/NKoKIA8.jpg https://i.imgur.com/C3guHbc.jpg https://i.imgur.com/wajQfUa.jpg
Kuanria Dam,OD_Nayagarh_KuanriaDam,Odisha,Nayagarh,Dasapalla,20.3458,84.7916,Dams & Water Reservoirs,NA,NA,A huge reservoir flanked by blue hillocks and a 1.5 kms long dam over River Kuanria,"Kuanria Dam is situated on the edges of Daspalla in Nayagarh District of Orissa. It is worked over the Kuanria River, which is a tributary of the Mahanadi River.A large number of migratory birds also flock to this reservoir during winters. The tranquil beauty of the hills, river, forests and the deer park make the place a much sought after retreat by the tourists. ","The essential thought process of developing this dam was to help in the water system of the farmlands of this retrogressive region.The dam has become a mainstream outing spot inferable from its characteristic excellence and the connecting timberland area. $Another close by well known spot is the Kuanria Deer Park. The dam is only 7 kilometers from Daspalla town and arranged close to Odasar town in Nayagarh area. It's the biggest dam of Nayagarh area. You can discover woods with inconceivably rich verdure, a generally excellent nature spot with a deer park in this spot.",https://i.imgur.com/XtcA25P.jpg,https://i.imgur.com/B08i6Lq.jpg https://i.imgur.com/aciKuVe.jpg https://i.imgur.com/7uuyyXB.jpg https://i.imgur.com/gsnPL8f.jpg
